DATE,OUTCOME,ANIMAL,VOLUME
2019-01-10,Return to Owner,DOGS,143
2019-01-10,Adoption,CATS,76
2019-01-11,Euthanasia,CATS,7
2019-01-11,Other,CATS,39
2019-01-11,Return to Owner,CATS,35
2019-01-11,Adoption,DOGS,4
2019-01-11,Euthanasia,DOGS,6
2019-01-11,Other,DOGS,7
2019-01-11,Return to Owner,DOGS,53
2019-01-11,Adoption,CATS,32
2019-01-12,Adoption,CATS,55
2019-01-12,Euthanasia,CATS,7
2019-01-12,Other,CATS,44
2019-01-12,Return to Owner,CATS,73
2019-01-12,Adoption,DOGS,7
2019-01-12,Euthanasia,DOGS,
2019-01-12,Other,DOGS,7
2019-01-12,Return to Owner,DOGS,61
2020-01-01,Return to Owner,CATS,68
2020-01-01,Adoption,DOGS,29
2020-01-01,Other,DOGS,7
2020-01-01,Return to Owner,DOGS,348
2020-01-01,Adoption,CATS,34
2020-01-01,Other,CATS,6
2020-01-01,Euthanasia,CATS,17
2020-01-01,Euthanasia,DOGS,23
2020-01-02,Return to Owner,CATS,74
2020-01-02,Adoption,DOGS,27
2020-01-02,Other,DOGS,5
2020-01-02,Other,CATS,12
2020-01-02,Return to Owner,DOGS,295
2020-01-02,Adoption,CATS,22
2020-01-02,Euthanasia,CATS,25
2020-01-02,Euthanasia,DOGS,22
2020-01-03,Other,DOGS,5
2020-01-03,Return to Owner,DOGS,204
2020-01-03,Return to Owner,CATS,16
2020-01-03,Adoption,DOGS,21
2020-01-03,Adoption,CATS,18
2020-01-03,Other,CATS,5
2020-01-03,Euthanasia,CATS,6
2020-01-03,Euthanasia,DOGS,12
2020-01-04,Return to Owner,DOGS,152
2020-01-04,Other,DOGS,1
2020-01-04,Adoption,DOGS,16
2020-01-04,Return to Owner,CATS,17
2020-01-04,Adoption,CATS,16
2020-01-04,Euthanasia,CATS,6
2020-01-04,Euthanasia,DOGS,6
2020-01-04,Adoption,CATS,25
2020-01-05,Other,DOGS,1
2020-01-05,Adoption,CATS,23
2020-01-05,Return to Owner,DOGS,182
2020-01-05,Other,CATS,17
2020-01-05,Adoption,DOGS,15
2020-01-05,Euthanasia,CATS,10
2020-01-05,Euthanasia,DOGS,6
2020-01-05,Return to Owner,DOGS,181
2020-01-06,Adoption,CATS,18
2020-01-06,Other,DOGS,2
2020-01-06,Adoption,DOGS,11
2020-01-06,Return to Owner,CATS,57
2020-01-06,Other,CATS,14
2020-01-06,Euthanasia,CATS,14
2020-01-06,Euthanasia,DOGS,1
2020-01-06,Adoption,CATS,16
2020-01-07,Euthanasia,CATS,29
2020-01-07,Other,CATS,39
2020-01-07,Return to Owner,CATS,63
2020-01-07,Adoption,DOGS,12
2020-01-07,Euthanasia,DOGS,3
2020-01-07,Other,DOGS,8
2020-01-07,Return to Owner,DOGS,228
2020-01-07,Adoption,CATS,25
2020-01-08,Euthanasia,CATS,17
2020-01-08,Other,CATS,18
2020-01-08,Return to Owner,CATS,11
2020-01-08,Adoption,DOGS,11
2020-01-08,Euthanasia,DOGS,9
2020-01-08,Other,DOGS,5
2020-01-08,Return to Owner,DOGS,55
2020-01-08,Adoption,CATS,42
2020-01-09,Euthanasia,CATS,7
2020-01-09,Other,CATS,24
2020-01-09,Return to Owner,CATS,51
2020-01-09,Adoption,DOGS,11
2020-01-09,Euthanasia,DOGS,9
2020-01-09,Other,DOGS,5
2020-01-09,Return to Owner,DOGS,70
2020-01-09,Adoption,CATS,39
2020-01-10,Euthanasia,CATS,36
2020-01-10,Other,CATS,53
2020-01-10,Return to Owner,CATS,74
2020-01-10,Adoption,DOGS,8
2020-01-10,Euthanasia,DOGS,9
2020-01-10,Other,DOGS,12
2020-01-10,Return to Owner,DOGS,142
2020-01-10,Adoption,CATS,65
